Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:10–14years–95%CI,,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:10–14years–95%CI,,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:10–14years–95%CI,,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   Eating and feeding disorders,Female,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   Eating and feeding disorders,Male,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   Eating and feeding disorders,Total,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   Tic disorders,Female,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   Tic disorders,Male,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   Tic disorders,Total,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   ADHD,Female,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   ADHD,Male,Agegroup:10–14years–95%CI,,,,ED
2023–2024,   ADHD,Total,Agegroup:10–14years–95%CI,,,,ED
2018–2019,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,52.0,,,ED
2018–2019,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,31.0,,,ED
2018–2019,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,41.0,,,ED
2018–2019,Substance-related disorders,Female,Agegroup:15–17years–Rate,513.0,,,ED
2018–2019,Substance-related disorders,Male,Agegroup:15–17years–Rate,539.0,,,ED
2018–2019,Substance-related disorders,Total,Agegroup:15–17years–Rate,526.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,67.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,93.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,81.0,,,ED
2018–2019,Mood disorders,Female,Agegroup:15–17years–Rate,1149.0,,,ED
2018–2019,Mood disorders,Male,Agegroup:15–17years–Rate,514.0,,,ED
2018–2019,Mood disorders,Total,Agegroup:15–17years–Rate,824.0,,,ED
2018–2019,Anxiety disorders,Female,Agegroup:15–17years–Rate,784.0,,,ED
2018–2019,Anxiety disorders,Male,Agegroup:15–17years–Rate,390.0,,,ED
2018–2019,Anxiety disorders,Total,Agegroup:15–17years–Rate,583.0,,,ED
2018–2019,Personality disorders,Female,Agegroup:15–17years–Rate,98.0,,,ED
2018–2019,Personality disorders,Male,Agegroup:15–17years–Rate,18.0,,,ED
2018–2019,Personality disorders,Total,Agegroup:15–17years–Rate,57.0,,,ED
2018–2019,Other disorders,Female,Agegroup:15–17years–Rate,1102.0,,,ED
2018–2019,Other disorders,Male,Agegroup:15–17years–Rate,636.0,,,ED
2018–2019,Other disorders,Total,Agegroup:15–17years–Rate,864.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,926.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,475.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,695.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,49.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,73.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,62.0,,,ED
2018–2019,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,54.0,,,ED
2018–2019,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,4.0,,,ED
2018–2019,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,29.0,,,ED
2018–2019,   Tic disorders,Female,Agegroup:15–17years–Rate,4.0,,,ED
2018–2019,   Tic disorders,Male,Agegroup:15–17years–Rate,2.0,,,ED
2018–2019,   Tic disorders,Total,Agegroup:15–17years–Rate,3.0,,,ED
2018–2019,   ADHD,Female,Agegroup:15–17years–Rate,18.0,,,ED
2018–2019,   ADHD,Male,Agegroup:15–17years–Rate,32.0,,,ED
2018–2019,   ADHD,Total,Agegroup:15–17years–Rate,25.0,,,ED
2019–2020,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,42.0,,,ED
2019–2020,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,27.0,,,ED
2019–2020,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,34.0,,,ED
2019–2020,Substance-related disorders,Female,Agegroup:15–17years–Rate,472.0,,,ED
2019–2020,Substance-related disorders,Male,Agegroup:15–17years–Rate,527.0,,,ED
2019–2020,Substance-related disorders,Total,Agegroup:15–17years–Rate,500.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,56.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,77.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,67.0,,,ED
2019–2020,Mood disorders,Female,Agegroup:15–17years–Rate,1023.0,,,ED
2019–2020,Mood disorders,Male,Agegroup:15–17years–Rate,492.0,,,ED
2019–2020,Mood disorders,Total,Agegroup:15–17years–Rate,751.0,,,ED
2019–2020,Anxiety disorders,Female,Agegroup:15–17years–Rate,798.0,,,ED
2019–2020,Anxiety disorders,Male,Agegroup:15–17years–Rate,378.0,,,ED
2019–2020,Anxiety disorders,Total,Agegroup:15–17years–Rate,583.0,,,ED
2019–2020,Personality disorders,Female,Agegroup:15–17years–Rate,78.0,,,ED
2019–2020,Personality disorders,Male,Agegroup:15–17years–Rate,16.0,,,ED
2019–2020,Personality disorders,Total,Agegroup:15–17years–Rate,46.0,,,ED
2019–2020,Other disorders,Female,Agegroup:15–17years–Rate,1027.0,,,ED
2019–2020,Other disorders,Male,Agegroup:15–17years–Rate,611.0,,,ED
2019–2020,Other disorders,Total,Agegroup:15–17years–Rate,814.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,843.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,463.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,648.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,42.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,64.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,53.0,,,ED
2019–2020,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,53.0,,,ED
2019–2020,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,6.0,,,ED
2019–2020,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,29.0,,,ED
2019–2020,   Tic disorders,Female,Agegroup:15–17years–Rate,9.0,,,ED
2019–2020,   Tic disorders,Male,Agegroup:15–17years–Rate,4.0,,,ED
2019–2020,   Tic disorders,Total,Agegroup:15–17years–Rate,6.0,,,ED
2019–2020,   ADHD,Female,Agegroup:15–17years–Rate,20.0,,,ED
2019–2020,   ADHD,Male,Agegroup:15–17years–Rate,36.0,,,ED
2019–2020,   ADHD,Total,Agegroup:15–17years–Rate,28.0,,,ED
2020–2021,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,18.0,,,ED
2020–2021,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,11.0,,,ED
2020–2021,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,14.0,,,ED
2020–2021,Substance-related disorders,Female,Agegroup:15–17years–Rate,326.0,,,ED
2020–2021,Substance-related disorders,Male,Agegroup:15–17years–Rate,331.0,,,ED
2020–2021,Substance-related disorders,Total,Agegroup:15–17years–Rate,329.0,,,ED
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,61.0,,,ED
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,84.0,,,ED
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,73.0,,,ED
2020–2021,Mood disorders,Female,Agegroup:15–17years–Rate,797.0,,,ED
2020–2021,Mood disorders,Male,Agegroup:15–17years–Rate,326.0,,,ED
2020–2021,Mood disorders,Total,Agegroup:15–17years–Rate,555.0,,,ED
2020–2021,Anxiety disorders,Female,Agegroup:15–17years–Rate,679.0,,,ED
2020–2021,Anxiety disorders,Male,Agegroup:15–17years–Rate,315.0,,,ED
2020–2021,Anxiety disorders,Total,Agegroup:15–17years–Rate,492.0,,,ED
2020–2021,Personality disorders,Female,Agegroup:15–17years–Rate,66.0,,,ED
2020–2021,Personality disorders,Male,Agegroup:15–17years–Rate,14.0,,,ED
2020–2021,Personality disorders,Total,Agegroup:15–17years–Rate,39.0,,,ED
2020–2021,Other disorders,Female,Agegroup:15–17years–Rate,849.0,,,ED
2020–2021,Other disorders,Male,Agegroup:15–17years–Rate,432.0,,,ED
2020–2021,Other disorders,Total,Agegroup:15–17years–Rate,635.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,616.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,306.0,,,ED
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,457.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,32.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,43.0,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,38.0,,,ED
2020–2021,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,107.0,,,ED
2020–2021,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,8.0,,,ED
2020–2021,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,56.0,,,ED
2020–2021,   Tic disorders,Female,Agegroup:15–17years–Rate,25.0,,,ED
2020–2021,   Tic disorders,Male,Agegroup:15–17years–Rate,4.0,,,ED
2020–2021,   Tic disorders,Total,Agegroup:15–17years–Rate,14.0,,,ED
2020–2021,   ADHD,Female,Agegroup:15–17years–Rate,21.0,,,ED
2020–2021,   ADHD,Male,Agegroup:15–17years–Rate,30.0,,,ED
2020–2021,   ADHD,Total,Agegroup:15–17years–Rate,25.0,,,ED
2021–2022,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,19.0,,,ED
2021–2022,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,11.0,,,ED
2021–2022,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,15.0,,,ED
2021–2022,Substance-related disorders,Female,Agegroup:15–17years–Rate,363.0,,,ED
2021–2022,Substance-related disorders,Male,Agegroup:15–17years–Rate,316.0,,,ED
2021–2022,Substance-related disorders,Total,Agegroup:15–17years–Rate,338.0,,,ED
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,65.0,,,ED
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,87.0,,,ED
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,77.0,,,ED
2021–2022,Mood disorders,Female,Agegroup:15–17years–Rate,1035.0,,,ED
2021–2022,Mood disorders,Male,Agegroup:15–17years–Rate,398.0,,,ED
2021–2022,Mood disorders,Total,Agegroup:15–17years–Rate,706.0,,,ED
2021–2022,Anxiety disorders,Female,Agegroup:15–17years–Rate,807.0,,,ED
2021–2022,Anxiety disorders,Male,Agegroup:15–17years–Rate,337.0,,,ED
2021–2022,Anxiety disorders,Total,Agegroup:15–17years–Rate,564.0,,,ED
2021–2022,Personality disorders,Female,Agegroup:15–17years–Rate,107.0,,,ED
2021–2022,Personality disorders,Male,Agegroup:15–17years–Rate,15.0,,,ED
2021–2022,Personality disorders,Total,Agegroup:15–17years–Rate,59.0,,,ED
2021–2022,Other disorders,Female,Agegroup:15–17years–Rate,1080.0,,,ED
2021–2022,Other disorders,Male,Agegroup:15–17years–Rate,505.0,,,ED
2021–2022,Other disorders,Total,Agegroup:15–17years–Rate,783.0,,,ED
2021–2022,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,788.0,,,ED
2021–2022,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,374.0,,,ED
2021–2022,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,574.0,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,41.0,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,40.0,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,40.0,,,ED
2021–2022,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,139.0,,,ED
2021–2022,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,11.0,,,ED
2021–2022,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,73.0,,,ED
2021–2022,   Tic disorders,Female,Agegroup:15–17years–Rate,26.0,,,ED
2021–2022,   Tic disorders,Male,Agegroup:15–17years–Rate,5.0,,,ED
2021–2022,   Tic disorders,Total,Agegroup:15–17years–Rate,15.0,,,ED
2021–2022,   ADHD,Female,Agegroup:15–17years–Rate,22.0,,,ED
2021–2022,   ADHD,Male,Agegroup:15–17years–Rate,28.0,,,ED
2021–2022,   ADHD,Total,Agegroup:15–17years–Rate,25.0,,,ED
2022–2023,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,19.0,,,ED
2022–2023,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,9.0,,,ED
2022–2023,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,14.0,,,ED
2022–2023,Substance-related disorders,Female,Agegroup:15–17years–Rate,378.0,,,ED
2022–2023,Substance-related disorders,Male,Agegroup:15–17years–Rate,318.0,,,ED
2022–2023,Substance-related disorders,Total,Agegroup:15–17years–Rate,347.0,,,ED
2022–2023,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,60.0,,,ED
2022–2023,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,75.0,,,ED
2022–2023,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,68.0,,,ED
2022–2023,Mood disorders,Female,Agegroup:15–17years–Rate,832.0,,,ED
2022–2023,Mood disorders,Male,Agegroup:15–17years–Rate,352.0,,,ED
2022–2023,Mood disorders,Total,Agegroup:15–17years–Rate,584.0,,,ED
2022–2023,Anxiety disorders,Female,Agegroup:15–17years–Rate,698.0,,,ED
2022–2023,Anxiety disorders,Male,Agegroup:15–17years–Rate,289.0,,,ED
2022–2023,Anxiety disorders,Total,Agegroup:15–17years–Rate,487.0,,,ED
2022–2023,Personality disorders,Female,Agegroup:15–17years–Rate,86.0,,,ED
2022–2023,Personality disorders,Male,Agegroup:15–17years–Rate,16.0,,,ED
2022–2023,Personality disorders,Total,Agegroup:15–17years–Rate,50.0,,,ED
2022–2023,Other disorders,Female,Agegroup:15–17years–Rate,902.0,,,ED
2022–2023,Other disorders,Male,Agegroup:15–17years–Rate,454.0,,,ED
2022–2023,Other disorders,Total,Agegroup:15–17years–Rate,671.0,,,ED
2022–2023,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,688.0,,,ED
2022–2023,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,332.0,,,ED
2022–2023,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,504.0,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,31.0,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,39.0,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,35.0,,,ED
2022–2023,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,78.0,,,ED
2022–2023,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,9.0,,,ED
2022–2023,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,42.0,,,ED
2022–2023,   Tic disorders,Female,Agegroup:15–17years–Rate,10.0,,,ED
2022–2023,   Tic disorders,Male,Agegroup:15–17years–Rate,2.0,,,ED
2022–2023,   Tic disorders,Total,Agegroup:15–17years–Rate,6.0,,,ED
2022–2023,   ADHD,Female,Agegroup:15–17years–Rate,20.0,,,ED
2022–2023,   ADHD,Male,Agegroup:15–17years–Rate,25.0,,,ED
2022–2023,   ADHD,Total,Agegroup:15–17years–Rate,23.0,,,ED
2023–2024,Neurocognitive disorders,Female,Agegroup:15–17years–Rate,20.0,,,ED
2023–2024,Neurocognitive disorders,Male,Agegroup:15–17years–Rate,18.0,,,ED
2023–2024,Neurocognitive disorders,Total,Agegroup:15–17years–Rate,19.0,,,ED
2023–2024,Substance-related disorders,Female,Agegroup:15–17years–Rate,392.0,,,ED
2023–2024,Substance-related disorders,Male,Agegroup:15–17years–Rate,339.0,,,ED
2023–2024,Substance-related disorders,Total,Agegroup:15–17years–Rate,365.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–Rate,56.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–Rate,84.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–Rate,70.0,,,ED
2023–2024,Mood disorders,Female,Agegroup:15–17years–Rate,663.0,,,ED
2023–2024,Mood disorders,Male,Agegroup:15–17years–Rate,306.0,,,ED
2023–2024,Mood disorders,Total,Agegroup:15–17years–Rate,479.0,,,ED
2023–2024,Anxiety disorders,Female,Agegroup:15–17years–Rate,582.0,,,ED
2023–2024,Anxiety disorders,Male,Agegroup:15–17years–Rate,255.0,,,ED
2023–2024,Anxiety disorders,Total,Agegroup:15–17years–Rate,413.0,,,ED
2023–2024,Personality disorders,Female,Agegroup:15–17years–Rate,84.0,,,ED
2023–2024,Personality disorders,Male,Agegroup:15–17years–Rate,16.0,,,ED
2023–2024,Personality disorders,Total,Agegroup:15–17years–Rate,48.0,,,ED
2023–2024,Other disorders,Female,Agegroup:15–17years–Rate,824.0,,,ED
2023–2024,Other disorders,Male,Agegroup:15–17years–Rate,428.0,,,ED
2023–2024,Other disorders,Total,Agegroup:15–17years–Rate,619.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–Rate,628.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–Rate,298.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–Rate,458.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–Rate,33.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–Rate,39.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–Rate,36.0,,,ED
2023–2024,   Eating and feeding disorders,Female,Agegroup:15–17years–Rate,80.0,,,ED
2023–2024,   Eating and feeding disorders,Male,Agegroup:15–17years–Rate,8.0,,,ED
2023–2024,   Eating and feeding disorders,Total,Agegroup:15–17years–Rate,43.0,,,ED
2023–2024,   Tic disorders,Female,Agegroup:15–17years–Rate,8.0,,,ED
2023–2024,   Tic disorders,Male,Agegroup:15–17years–Rate,3.0,,,ED
2023–2024,   Tic disorders,Total,Agegroup:15–17years–Rate,6.0,,,ED
2023–2024,   ADHD,Female,Agegroup:15–17years–Rate,22.0,,,ED
2023–2024,   ADHD,Male,Agegroup:15–17years–Rate,31.0,,,ED
2023–2024,   ADHD,Total,Agegroup:15–17years–Rate,27.0,,,ED
2018–2019,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Substance-related disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Substance-related disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Substance-related disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Mood disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Mood disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Mood disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Anxiety disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Anxiety disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Anxiety disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Personality disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Personality disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Personality disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Other disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Other disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,Other disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Eating and feeding disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Tic disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Tic disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   Tic disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   ADHD,Female,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   ADHD,Male,Agegroup:15–17years–95%CI,,,,ED
2018–2019,   ADHD,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Substance-related disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Substance-related disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Substance-related disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Mood disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Mood disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Mood disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Anxiety disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Anxiety disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Anxiety disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Personality disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Personality disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Personality disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Other disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Other disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,Other disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Eating and feeding disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Eating and feeding disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Eating and feeding disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Tic disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Tic disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   Tic disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   ADHD,Female,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   ADHD,Male,Agegroup:15–17years–95%CI,,,,ED
2019–2020,   ADHD,Total,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Neurocognitive disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Neurocognitive disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Neurocognitive disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Substance-related disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Substance-related disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Substance-related disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Mood disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Mood disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Mood disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Anxiety disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Anxiety disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Anxiety disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Personality disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Personality disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Personality disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Other disorders,Female,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Other disorders,Male,Agegroup:15–17years–95%CI,,,,ED
2020–2021,Other disorders,Total,Agegroup:15–17years–95%CI,,,,ED
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:15–17years–95%CI,,,,ED
